rgsubtype	HAP1_CHK2_56	HAP1_CHK2_56-10	HAP1_CHK2_56-11	HAP1_CHK2_56-12	HAP1_CHK2_56-3	HAP1_CHK2_56-7	HAP1_CHK2_56-8	HAP1_CHK2_56-9	HAP1_EXO1_40	HAP1_EXO1_40-1	HAP1_EXO1_40-10	HAP1_EXO1_40-12	HAP1_EXO1_40-2	HAP1_EXO1_40-3	HAP1_EXO1_40-5	HAP1_EXO1_40-6	HAP1_FANCC_27	HAP1_FANCC_27-1	HAP1_FANCC_27-11	HAP1_FANCC_27-3	HAP1_FANCC_27-4	HAP1_FANCC_27-5	HAP1_FANCC_27-6	HAP1_FANCC_27-8	HAP1_MSH6_30	HAP1_MSH6_30-16	HAP1_MSH6_30-18	HAP1_MSH6_30-2	HAP1_MSH6_30-4	HAP1_MSH6_30-5	HAP1_MSH6_30-6	HAP1_MSH6_30-9	HAP1_NEIL1_3	HAP1_NEIL1_3-2	HAP1_NEIL1_3-3	HAP1_NEIL1_3-4	HAP1_NEIL1_3-5	HAP1_NEIL1_3-6	HAP1_NEIL1_3-7	HAP1_NEIL1_3-8	HAP1_NUDT1_41	HAP1_NUDT1_41-1	HAP1_NUDT1_41-10	HAP1_NUDT1_41-11	HAP1_NUDT1_41-12	HAP1_NUDT1_41-2	HAP1_NUDT1_41-6	HAP1_NUDT1_41-8	HAP1_POLB_35	HAP1_POLB_35-1	HAP1_POLB_35-2	HAP1_POLB_35-3	HAP1_POLB_35-4	HAP1_POLB_35-5	HAP1_POLB_35-7	HAP1_POLB_35-9	HAP1_POLE_34	HAP1_POLE_34-10	HAP1_POLE_34-11	HAP1_POLE_34-2	HAP1_POLE_34-4	HAP1_POLE_34-7	HAP1_POLE_34-8	HAP1_POLE_34-9	HAP1_POLM_21	HAP1_POLM_21-11	HAP1_POLM_21-12	HAP1_POLM_21-2	HAP1_POLM_21-4	HAP1_POLM_21-8	HAP1_POLM_21-9	HAP1_POLM-21-10	rgtype
deletion_0-10K	0	2	1	1	0	1	0	1	2	0	0	1	1	0	2	1	1	5	8	5	5	10	5	9	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	3	1	2	1	1	1	1	2	deletion
deletion_10K-1M	1	0	2	1	0	1	1	1	4	1	0	0	1	0	1	0	4	4	6	3	3	13	5	5	2	1	1	1	0	1	2	1	5	2	2	1	2	1	1	2	6	0	0	1	0	1	0	0	2	1	0	3	2	1	0	0	2	1	1	2	1	1	1	1	1	1	0	1	0	2	1	0	deletion
deletion_1M_more	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	deletion
inversion_0-10K	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	2	3	1	0	6	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	inversion
inversion_10K-1M	0	0	0	0	0	0	0	3	0	0	1	1	1	1	0	1	1	5	2	6	0	3	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	inversion
inversion_1M_more	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	5	0	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	inversion
tandem-duplication_0-10K	0	0	0	0	0	0	0	0	2	1	1	1	2	1	3	1	0	8	4	8	2	3	1	2	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	0	2	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	tandem-duplication
tandem-duplication_10K-1M	2	1	2	0	0	1	0	2	5	2	6	4	7	5	14	4	0	3	3	6	3	5	5	1	2	0	0	1	1	1	3	0	2	1	1	0	2	1	0	4	5	2	0	3	2	1	2	2	0	0	3	1	1	0	4	5	4	3	3	3	1	1	6	4	0	5	1	0	2	2	4	1	tandem-duplication
tandem-duplication_1M_more	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	tandem-duplication
translocation_-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	translocation
